Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerRecepetion,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999
44,Joe Mixon,CIN,RB,26,6,6,0,0,0,0,0,104,347,3.34,1,33,24,149,6.21,1,0,0,2,,,62,85.6,91.6,73.6,11,18,44,MixoJo00
45,Dallas Goedert,PHI,TE,27,6,6,0,0,0,0,0,0,0,,0,35,26,357,13.73,1,0,0,1,,,42,67.7,70.7,54.7,9,6,45,GoedDa00
46,CeeDee Lamb,DAL,WR,23,6,6,0,0,0,0,0,3,15,5,0,60,33,409,12.39,2,0,0,2,,,54,87.4,90.4,70.9,9,15,46,LambCe00
47,Mike Evans,TAM,WR,29,5,5,0,0,0,0,0,0,0,,0,33,24,358,14.92,3,0,0,3,,,54,77.8,80.8,65.8,8,16,47,EvanMi00
48,Justin Herbert,LAC,QB,24,6,6,170,257,1716,10,3,18,26,1.44,0,0,0,0,,0,1,1,0,,,103,103.2,110.2,106.2,8,8,48,HerbJu00
49,Mike Williams,LAC,WR,28,6,6,0,0,0,0,0,0,0,,0,50,30,409,13.63,2,0,0,2,,,53,82.9,85.9,67.9,8,17,49,WillMi07
50,Allen Lazard,GNB,WR,27,5,5,0,0,0,0,0,0,0,,0,34,20,285,14.25,4,0,0,4,,,53,72.5,75.5,62.5,7,18,50,LazaAl00
51,Tyler Lockett,SEA,WR,30,6,6,0,0,0,0,0,0,0,,0,45,34,423,12.44,2,1,1,2,,,52,86.3,90.3,69.3,7,19,51,LockTy00
52,Amon-Ra St. Brown,DET,WR,23,4,4,0,0,0,0,0,2,68,34,0,39,27,271,10.04,3,0,0,3,,,52,78.9,81.9,65.4,7,20,52,StxxAm00
53,DeVonta Smith,PHI,WR,24,6,6,0,0,0,0,0,0,0,,0,43,33,397,12.03,2,0,0,2,,,52,84.7,87.7,68.2,6,21,53,SmitDe07
54,David Njoku,CLE,TE,26,6,6,0,0,0,0,0,1,-6,-6,0,35,27,347,12.85,1,1,1,1,,,38,65.1,69.1,51.6,6,7,54,NjokDa00
55,Brandon Aiyuk,SFO,WR,24,6,6,0,0,0,0,0,1,7,7,0,38,25,320,12.8,3,0,0,3,,,51,75.7,78.7,63.2,5,22,55,AiyuBr00
56,Devin Duvernay,BAL,WR,25,6,6,0,0,0,0,0,5,22,4.4,0,25,18,240,13.33,3,0,0,4,,,50,68.2,71.2,59.2,5,23,56,DuveDe00
57,Eno Benjamin,ARI,RB,23,7,2,0,0,0,0,0,57,265,4.65,2,25,19,146,7.68,0,0,0,2,1,,55,74.1,80.1,64.6,5,19,57,BenjEn00
58,Jeff Wilson,SFO,RB,27,6,4,0,0,0,0,0,81,400,4.94,2,10,8,70,8.75,0,2,2,2,,,55,63,68,59,5,20,58,WilsJe01
59,Courtland Sutton,DEN,WR,27,6,6,0,0,0,0,0,1,5,5,0,49,31,431,13.9,1,0,0,1,,,50,80.6,83.6,65.1,4,24,59,SuttCo00
60,Cordarrelle Patterson,ATL,RB,31,4,3,0,0,0,0,0,58,340,5.86,3,7,4,28,7,0,0,0,3,,,55,58.8,61.8,56.8,4,21,60,PattCo00
61,Gerald Everett,LAC,TE,28,6,5,0,0,0,0,0,0,0,,0,36,22,242,11,2,0,0,2,,,36,58.2,61.2,47.2,4,8,61,EverGe00
62,D.K. Metcalf,SEA,WR,25,6,6,0,0,0,0,0,0,0,,0,50,30,406,13.53,2,2,2,2,,,49,78.6,83.6,63.6,3,25,62,MetcDK00
63,Ezekiel Elliott,DAL,RB,27,6,6,0,0,0,0,0,94,386,4.11,2,8,6,32,5.33,0,0,0,2,,,54,59.8,62.8,56.8,3,22,63,ElliEz00
64,Tee Higgins,CIN,WR,23,6,5,0,0,0,0,0,0,0,,0,37,26,362,13.92,2,0,0,2,,,48,74.2,77.2,61.2,3,26,64,HiggTe00
65,Trevor Lawrence,JAX,QB,23,6,6,133,203,1397,9,4,20,81,4.05,2,0,0,0,,0,4,4,2,,1,98,98,109,102,3,9,65,LawrTr00
66,Kirk Cousins,MIN,QB,34,6,6,151,228,1502,9,5,9,18,2,1,0,0,0,,0,1,0,1,,2,98,97.9,105.9,102.9,3,10,66,CousKi00
67,Mike Gesicki,MIA,TE,27,6,1,0,0,0,0,0,0,0,,0,19,15,170,11.33,3,0,0,3,,,35,50,53,42.5,3,9,67,GesiMi00
68,Michael Pittman Jr.,IND,WR,25,5,5,0,0,0,0,0,0,0,,0,52,38,417,10.97,1,0,0,1,,,48,85.7,88.7,66.7,3,27,68,PittMi01
69,Carson Wentz,WAS,QB,30,6,6,144,232,1489,10,6,19,79,4.16,0,0,0,0,,0,6,1,0,,2,97,97.5,107.5,103.5,3,11,69,WentCa00
70,Corey Davis,NYJ,WR,27,6,4,0,0,0,0,0,0,0,,0,33,19,351,18.47,2,0,0,2,,,47,66.1,69.1,56.6,2,28,70,DaviCo03
71,Kareem Hunt,CLE,RB,27,6,0,0,0,0,0,0,61,259,4.25,2,17,14,83,5.93,1,0,0,3,,,52,66.2,69.2,59.2,2,23,71,HuntKa00
72,Will Dissly,SEA,TE,26,6,6,0,0,0,0,0,0,0,,0,16,15,149,9.93,3,0,0,3,,,33,47.9,50.9,40.4,1,10,72,DissWi00
73,Josh Reynolds,DET,WR,27,5,5,0,0,0,0,0,0,0,,0,34,23,335,14.57,2,0,0,2,,,46,68.5,71.5,57,1,29,73,ReynJo00
74,Juwan Johnson,NOR,TE,26,7,3,0,0,0,0,0,0,0,,0,30,19,202,10.63,2,0,0,2,,,32,51.2,54.2,41.7,,11,74,JohnJu02
75,Tory Carter,TEN,,23,5,3,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,75,CartTo01
76,Marcus Mariota,ATL,QB,29,6,6,84,137,1055,6,4,43,206,4.79,3,0,0,0,,0,7,3,3,,2,95,94.8,107.8,98.8,,12,76,MariMa01
77,Daniel Bellinger,NYG,TE,22,6,5,0,0,0,0,0,1,2,2,1,17,15,139,9.27,2,0,0,3,,,32,47.1,50.1,39.6,,12,77,BellDa00
78,Alvin Kamara,NOR,RB,27,5,5,0,0,0,0,0,77,351,4.56,0,35,24,191,7.96,0,2,2,0,,,50,74.2,82.2,62.2,,24,78,KamaAl00
79,Jared Goff,DET,QB,28,5,5,111,186,1355,11,4,10,23,2.3,0,0,0,0,,0,2,1,0,1,1,95,94.5,102.5,98.5,,13,,GoffJa00
80,Tom Brady,TAM,QB,45,6,6,166,247,1652,8,1,10,-7,-0.7,0,0,0,0,,0,3,2,0,,1,93,93.4,99.4,94.4,,14,,BradTo00
81,Daniel Jones,NYG,QB,25,6,6,107,159,1021,5,2,47,236,5.02,2,0,0,0,,0,2,2,2,,1,90,90.4,100.4,92.4,,15,,JoneDa05
82,Russell Wilson,DEN,QB,34,6,6,116,198,1442,5,3,21,96,4.57,1,1,1,1,1,0,1,0,1,,,87,88.4,94.4,90.9,,16,,WilsRu00
83,Matt Ryan,IND,QB,37,6,6,170,253,1765,8,7,11,9,0.82,0,0,0,0,,0,11,3,0,,,84,83.5,96.5,90.5,,17,,RyanMa00
84,Jacoby Brissett,CLE,QB,30,6,6,124,206,1326,6,5,22,112,5.09,1,0,0,0,,0,2,1,1,,,82,82.2,94.2,87.2,,18,,BrisJa00
85,Derek Carr,LVR,QB,31,5,5,113,184,1279,8,4,11,69,6.27,0,0,0,0,,0,2,0,0,,,82,82.1,89.1,86.1,,19,,CarrDe02
86,Aaron Rodgers,GNB,QB,39,6,6,140,209,1403,9,3,9,9,1,0,0,0,0,,0,5,3,0,,,81,81,90,84,,20,,RodgAa00
87,Jimmy Garoppolo,SFO,QB,31,5,4,94,148,1153,7,3,10,18,1.8,1,0,0,0,,0,2,1,1,,,74,73.9,80.9,76.9,,21,,GaroJi00
88,Justin Fields,CHI,QB,23,6,6,63,115,869,4,5,54,282,5.22,1,0,0,0,,0,7,1,1,,,73,73,85,78,,22,,FielJu00
89,Tua Tagovailoa,MIA,QB,24,4,4,80,115,1035,8,3,4,1,0.25,0,0,0,0,,0,1,0,0,,,68,67.5,73.5,70.5,,23,,TagoTu00
90,Matthew Stafford,LAR,QB,34,6,6,160,225,1576,6,8,8,7,0.88,0,0,0,0,,0,4,3,0,,,66,65.7,79.7,73.7,,24,,StafMa00
91,Ryan Tannehill,TEN,QB,34,5,5,82,126,965,6,3,15,23,1.53,1,0,0,0,,0,1,0,1,,,65,64.9,70.9,67.9,,25,,TannRy00
92,Andy Dalton,NOR,QB,35,4,4,83,131,946,7,4,12,28,2.33,0,0,0,0,,0,1,1,0,,1,61,60.6,68.6,64.6,,26,,DaltAn00
93,Cooper Rush,DAL,QB,29,6,5,90,156,1020,5,3,9,6,0.67,0,0,0,0,,0,2,0,0,,,55,55.4,61.4,58.4,,27,,RushCo00
94,Baker Mayfield,CAR,QB,27,5,5,84,153,962,4,4,14,40,2.86,1,0,0,0,,0,6,1,1,,,54,54.5,62.5,58.5,,28,,MayfBa00
95,Davis Mills,HOU,QB,24,5,5,104,166,1048,5,4,6,2,0.33,0,0,0,0,,0,4,1,0,,,52,52.1,60.1,56.1,,29,,MillDa02
96,Mitchell Trubisky,PIT,QB,28,5,4,78,128,797,3,2,13,29,2.23,1,0,0,0,,0,0,0,1,,1,51,50.8,55.8,52.8,,30,,TrubMi00
97,Najee Harris,PIT,RB,24,6,6,0,0,0,0,0,83,264,3.18,1,18,15,71,4.73,2,1,1,3,,,50,64.5,68.5,57,,25,,HarrNa00
98,Antonio Gibson,WAS,RB,24,6,5,0,0,0,0,0,61,214,3.51,2,24,19,152,8,0,0,0,2,,,49,67.6,73.6,58.1,,27,,GibsAn00
99,Tony Pollard,DAL,RB,25,6,1,0,0,0,0,0,55,292,5.31,2,16,9,79,8.78,0,0,0,2,,,49,58.1,61.1,53.6,,26,,PollTo00
100,Rashaad Penny,SEA,RB,26,5,5,0,0,0,0,0,57,346,6.07,2,5,4,16,4,0,1,0,2,,,48,52.2,55.2,50.2,,28,,PennRa00
101,Damien Harris,NWE,RB,25,5,5,0,0,0,0,0,57,257,4.51,3,10,8,30,3.75,0,0,0,3,,,47,54.7,57.7,50.7,,29,,HarrDa06
102,Devin Singletary,BUF,RB,25,6,6,0,0,0,0,0,57,256,4.49,0,28,22,167,7.59,1,1,1,1,,,46,68.3,75.3,57.3,,30,,SingDe00
103,Tyler Boyd,CIN,WR,28,6,4,1,1,23,0,0,0,0,,0,29,21,300,14.29,2,0,0,2,1,,45,65.9,68.9,55.4,,30,,BoydTy00
104,Travis Etienne,JAX,RB,23,6,1,0,0,0,0,0,54,301,5.57,0,18,13,146,11.23,0,2,0,0,,,45,57.7,63.7,51.2,,31,,EtieTr00
105,Joe Flacco,NYJ,QB,37,3,3,91,155,901,5,3,3,6,2,0,0,0,0,,0,4,3,0,,,45,44.6,53.6,47.6,,31,,FlacJo00
106,Drake London,ATL,WR,21,6,5,0,0,0,0,0,0,0,,0,43,25,306,12.24,2,0,0,2,1,,45,69.6,72.6,57.1,,31,,LondDr00
107,Terry McLaurin,WAS,WR,27,6,6,0,0,0,0,0,3,18,6,0,37,22,367,16.68,1,1,0,1,,,45,66.5,69.5,55.5,,32,,McLaTe00
108,Curtis Samuel,WAS,WR,26,6,5,0,0,0,0,0,8,51,6.38,0,50,34,287,8.44,2,1,1,2,,,44,77.8,81.8,60.8,,33,,SamuCu00
109,Jameis Winston,NOR,QB,28,3,3,73,115,858,4,5,5,16,3.2,0,0,0,0,,0,3,0,0,,1,44,43.9,51.9,48.9,,32,,WinsJa00
110,Michael Carter,NYJ,RB,23,6,5,0,0,0,0,0,53,199,3.75,2,22,18,106,5.89,0,1,0,2,,,43,60.5,66.5,51.5,,35,,CartMi03
111,AJ Dillon,GNB,RB,24,6,2,0,0,0,0,0,73,286,3.92,1,20,13,80,6.15,0,0,0,1,,,43,55.6,58.6,49.1,,34,,DillAJ00
112,Raheem Mostert,MIA,RB,30,6,4,0,0,0,0,0,71,309,4.35,1,14,8,64,8,0,0,0,1,,,43,51.3,54.3,47.3,,32,,MostRa00
113,D'Andre Swift,DET,RB,23,3,3,0,0,0,0,0,27,231,8.56,1,12,8,77,9.63,1,0,0,2,,,43,50.8,53.8,46.8,,33,,SwifDA00
114,David Montgomery,CHI,RB,25,5,5,0,0,0,0,0,62,246,3.97,1,11,10,113,11.3,0,0,0,1,,,42,51.9,57.9,46.9,,36,,MontDa01
115,Adam Thielen,MIN,WR,32,6,6,0,0,0,0,0,0,0,,0,43,29,284,9.79,2,0,0,2,1,,42,71.4,74.4,56.9,,34,,ThieAd00
116,Jerry Jeudy,DEN,WR,23,6,6,0,0,0,0,0,1,1,1,0,36,17,290,17.06,2,0,0,2,,,41,58.1,61.1,49.6,,35,,JeudJe00
117,JuJu Smith-Schuster,KAN,WR,26,6,6,0,0,0,0,0,0,0,,0,40,27,370,13.7,1,2,1,1,,,41,68,72,54.5,,36,,SmitJu00
118,Jonathan Taylor,IND,RB,23,4,4,0,0,0,0,0,81,328,4.05,1,16,9,44,4.89,0,1,1,1,,,41,50.2,54.2,45.7,,37,,TaylJo02
119,Garrett Wilson,NYJ,WR,22,6,3,0,0,0,0,0,1,-2,-2,0,48,24,290,12.08,2,0,0,2,,,41,64.8,67.8,52.8,,37,,WilsGa00
120,Jahan Dotson,WAS,WR,22,4,3,0,0,0,0,0,1,-10,-10,0,22,12,152,12.67,4,0,0,4,1,,40,52.2,55.2,46.2,,38,,DotsJa00
121,Jakobi Meyers,NWE,WR,26,4,3,0,0,0,0,0,1,7,7,0,31,24,321,13.38,1,0,0,1,,,39,62.8,65.8,50.8,,39,,MeyeJa01
122,Kenneth Walker III,SEA,RB,22,5,1,0,0,0,0,0,44,243,5.52,2,10,8,27,3.38,0,0,0,2,,,39,47,50,43,,38,,WalkKe00
123,Darrell Henderson,LAR,RB,25,6,4,0,0,0,0,0,46,181,3.93,2,18,14,77,5.5,0,0,0,2,,,38,51.8,54.8,44.8,,39,,HendDa00
124,Chase Edmonds,MIA,RB,26,6,2,0,0,0,0,0,31,89,2.87,2,15,10,96,9.6,1,0,0,3,,,37,46.5,46.5,41.5,,40,,EdmoCh00
125,Mac Jones,NWE,QB,24,3,3,64,97,786,2,5,14,37,2.64,1,0,0,0,,0,1,1,1,,,37,37.1,46.1,42.1,,33,,JoneMa05
126,Zach Wilson,NYJ,QB,23,3,3,42,75,572,1,2,11,18,1.64,1,1,1,2,2,1,0,0,2,,,37,37.9,42.9,39.4,,34,,WilsZa00
127,Olamide Zaccheaus,ATL,WR,25,6,4,0,0,0,0,0,0,0,,0,18,16,271,16.94,2,1,1,2,,,37,53.1,57.1,45.1,,40,,ZaccOl01
128,James Conner,ARI,RB,27,5,5,0,0,0,0,0,54,200,3.7,1,19,14,103,7.36,0,1,0,1,,,36,50.3,56.3,43.3,,41,,ConnJa00
129,Noah Brown,DAL,WR,26,6,6,0,0,0,0,0,0,0,,0,32,20,289,14.45,1,0,0,1,,,35,54.9,57.9,44.9,,42,,BrowNo00
130,Romeo Doubs,GNB,WR,22,6,4,0,0,0,0,0,1,11,11,0,38,26,234,9,2,2,1,2,,,35,60.5,64.5,47.5,,44,,DoubRo00
131,Isaiah McKenzie,BUF,WR,27,5,4,0,0,0,0,0,1,6,6,0,26,17,162,9.53,3,0,0,3,,,35,51.8,54.8,43.3,,43,,McKeIs00
132,Michael Thomas,NOR,WR,29,3,3,0,0,0,0,0,0,0,,0,22,16,171,10.69,3,0,0,3,,,35,51.1,54.1,43.1,,41,,ThomMi05
133,Rashod Bateman,BAL,WR,23,4,3,0,0,0,0,0,0,0,,0,22,11,243,22.09,2,1,1,2,,,34,45.3,49.3,39.8,,45,,BateRa00
134,Chase Claypool,PIT,WR,24,6,6,0,0,0,0,0,8,55,6.88,0,36,23,225,9.78,1,0,0,1,,,34,57,60,45.5,,46,,ClayCh01
135,Greg Dortch,ARI,WR,24,7,2,0,0,0,0,0,1,1,1,0,25,22,209,9.5,2,0,0,2,,,33,55,58,44,,50,,DortGr01
136,Dontrell Hilliard,TEN,RB,27,4,0,0,0,0,0,0,5,22,4.4,0,14,12,132,11,3,0,0,3,,,33,45.4,48.4,39.4,,42,,HillDo00
137,Mack Hollins,LVR,WR,29,5,4,1,1,4,0,0,0,0,,0,29,17,273,16.06,1,0,0,1,,,33,50.5,53.5,42,,47,,HollMa00
138,Diontae Johnson,PIT,WR,26,6,6,0,0,0,0,0,4,19,4.75,0,57,33,295,8.94,0,1,0,0,1,,33,66.4,69.4,49.9,,48,,JohnDi01
139,Kenny Pickett,PIT,QB,24,3,2,55,83,514,1,4,9,41,4.56,2,0,0,0,,0,1,0,2,,,33,32.7,39.7,36.7,,36,,PickKe00
140,Alec Pierce,IND,WR,22,5,4,0,0,0,0,0,0,0,,0,29,18,271,15.06,1,1,0,1,,,33,51.1,54.1,42.1,,49,,PierAl00
141,Bailey Zappe,NWE,QB,23,3,2,51,70,596,4,1,8,1,0.13,0,1,1,-6,-6,0,3,2,0,,,33,34.3,40.3,34.8,,35,,ZappBa00
142,Melvin Gordon,DEN,RB,29,6,2,0,0,0,0,0,55,201,3.65,1,13,11,98,8.91,0,4,2,1,,,32,42.9,47.9,37.4,,43,,GordMe00
143,Mecole Hardman,KAN,WR,24,6,4,0,0,0,0,0,2,3,1.5,0,21,15,186,12.4,2,1,0,2,,,31,45.9,48.9,38.4,,52,,HardMe00
144,DeVante Parker,NWE,WR,29,6,5,0,0,0,0,0,0,0,,0,22,12,253,21.08,1,0,0,1,,,31,43.3,46.3,37.3,,51,,ParkDe01
145,Brandin Cooks,HOU,WR,29,5,5,0,0,0,0,0,0,0,,0,42,24,235,9.79,1,0,0,1,,,30,53.5,56.5,41.5,,56,,CookBr00
146,Pat Freiermuth,PIT,TE,24,5,4,0,0,0,0,0,0,0,,0,32,20,235,11.75,1,0,0,1,,,30,49.5,52.5,39.5,,15,,FreiPa00
147,Tyler Higbee,LAR,TE,29,6,6,0,0,0,0,0,0,0,,0,50,34,297,8.74,0,0,0,0,,,30,63.7,66.7,46.7,,14,,HigbTy00
148,Hayden Hurst,CIN,TE,29,6,6,0,0,0,0,0,0,0,,0,31,23,178,7.74,2,0,0,2,,,30,52.8,55.8,41.3,,13,,HursHa00
149,D.J. Moore,CAR,WR,25,6,6,0,0,0,0,0,5,39,7.8,0,44,20,204,10.2,1,0,0,1,,,30,50.3,53.3,40.3,,54,,MoorD.00
150,Josh Palmer,LAC,WR,24,6,6,0,0,0,0,0,1,4,4,0,40,26,240,9.23,1,0,0,1,,,30,56.4,59.4,43.4,,53,,PalmJo00
151,Ben Skowronek,LAR,WR,25,6,5,0,0,0,0,0,1,17,17,1,29,23,221,9.61,0,0,0,1,,,30,52.8,55.8,41.3,,55,,SkowBe00
152,Tre'Quan Smith,NOR,WR,26,5,2,0,0,0,0,0,0,0,,0,20,14,235,16.79,1,0,0,1,,,30,43.5,46.5,36.5,,57,,SmitTr03
153,Teddy Bridgewater,MIA,QB,30,4,1,37,60,522,3,3,2,21,10.5,0,0,0,0,,0,0,0,0,,,29,29,35,32,,37,,BridTe00
154,Zay Jones,JAX,WR,27,5,4,0,0,0,0,0,1,0,0,0,37,27,227,8.41,1,0,0,1,,,29,55.7,58.7,42.2,,59,,JoneZa00
155,Allen Robinson,LAR,WR,29,6,6,0,0,0,0,0,0,0,,0,29,17,170,10,2,0,0,2,,,29,46,49,37.5,,58,,RobiAl02
156,J.K. Dobbins,BAL,RB,24,4,4,0,0,0,0,0,35,123,3.51,1,6,6,39,6.5,1,0,0,2,,,28,34.2,37.2,31.2,,44,,DobbJK00
157,Mark Ingram,NOR,RB,33,7,2,0,0,0,0,0,51,196,3.84,1,11,10,44,4.4,0,2,2,1,1,,28,38,43,33,,45,,IngrMa01
158,Alexander Mattison,MIN,RB,24,6,0,0,0,0,0,0,30,97,3.23,1,11,8,58,7.25,1,0,0,2,,,28,35.5,35.5,31.5,,46,,MattAl01
159,George Pickens,PIT,WR,21,6,3,0,0,0,0,0,1,1,1,0,34,20,277,13.85,0,0,0,0,,,28,47.8,50.8,37.8,,60,,PickGe00
160,Robert Tonyan,GNB,TE,28,6,2,0,0,0,0,0,0,0,,0,32,27,219,8.11,1,0,0,1,,,28,54.9,57.9,41.4,,16,,TonyRo00
161,Nico Collins,HOU,WR,23,5,3,0,0,0,0,0,0,0,,0,27,15,272,18.13,0,0,0,0,,,27,42.2,45.2,34.7,,61,,CollNi00
162,Tyler Conklin,NYJ,TE,27,6,6,0,0,0,0,0,1,1,1,0,32,22,208,9.45,1,2,0,1,,,27,48.9,51.9,37.9,,17,,ConkTy00
163,Kenyan Drake,BAL,RB,28,4,2,0,0,0,0,0,31,184,5.94,1,4,3,24,8,0,0,0,1,,,27,29.8,32.8,28.3,,48,,DrakKe00
164,Deon Jackson,IND,RB,23,6,1,0,0,0,0,0,27,101,3.74,1,14,14,108,7.71,0,0,0,1,,,27,40.9,46.9,33.9,,47,,JackDe02
165,Marvin Jones,JAX,WR,32,5,4,0,0,0,0,0,0,0,,0,30,18,208,11.56,1,0,0,1,,,27,44.8,47.8,35.8,,62,,JoneMa02
166,Donovan Peoples-Jones,CLE,WR,23,6,4,0,0,0,0,0,1,2,2,0,36,20,265,13.25,0,0,0,0,,,27,46.7,49.7,36.7,,63,,PeopDo00
167,Mo Alie-Cox,IND,TE,29,6,3,0,0,0,0,0,0,0,,0,15,11,136,12.36,2,0,0,2,,,26,36.6,39.6,31.1,,19,,AlieMo00
168,Tyler Allgeier,ATL,RB,22,5,2,0,0,0,0,0,54,235,4.35,0,2,2,25,12.5,0,0,0,0,,,26,28,31,27,,50,,AllgTy00
169,Braxton Berrios,NYJ,WR,27,6,0,1,1,2,1,0,5,55,11,2,10,8,48,6,0,0,0,2,,,26,34.4,34.4,30.4,,65,,BerrBr00
170,Randall Cobb,GNB,WR,32,6,1,0,0,0,0,0,0,0,,0,26,18,257,14.28,0,1,0,0,,,26,43.7,46.7,34.7,,66,,CobbRa00
171,J.D. McKissic,WAS,RB,29,6,0,0,0,0,0,0,19,85,4.47,0,33,24,159,6.63,0,0,0,0,1,,26,50.4,53.4,38.4,,49,,McKiJ.00
172,Dante Pettis,CHI,WR,27,6,3,0,0,0,0,0,0,0,,0,13,5,135,27,2,0,0,2,,,26,30.5,33.5,28,,67,,PettDa00
173,Irv Smith Jr.,MIN,TE,24,6,0,0,0,0,0,0,0,0,,0,29,18,140,7.78,2,1,0,2,,,26,44,47,35,,18,,SmitIr01
174,Marquez Valdes-Scantling,KAN,WR,28,6,5,0,0,0,0,0,1,-3,-3,0,34,19,258,13.58,0,0,0,0,,,26,44.5,47.5,35,,68,,ValdMa00
175,Javonte Williams,DEN,RB,22,4,4,0,0,0,0,0,47,204,4.34,0,22,16,76,4.75,0,1,1,0,,,26,42,46,34,,51,,WillJa10
176,Robert Woods,TEN,WR,30,5,4,0,0,0,0,0,0,0,,0,28,17,204,12,1,0,0,1,,,26,43.4,46.4,34.9,,64,,WoodRo02
177,Nelson Agholor,NWE,WR,29,5,3,0,0,0,0,0,0,0,,0,19,14,225,16.07,1,2,2,1,,,25,38.5,43.5,31.5,,72,,AghoNe00
178,Robbie Anderson,2TM,WR,29,7,5,0,0,0,0,0,0,0,,0,28,13,206,15.85,1,1,1,1,,,25,37.6,41.6,31.1,,71,,AndeRo04
179,Russell Gage,TAM,WR,26,6,3,0,0,0,0,0,0,0,,0,35,25,192,7.68,1,1,1,1,1,,25,50.2,54.2,37.7,,69,,GageRu00
180,Chris Godwin,TAM,WR,26,4,4,0,0,0,0,0,1,2,2,0,31,22,250,11.36,0,0,0,0,,,25,47.2,50.2,36.2,,70,,GodwCh00
181,Jerick McKinnon,KAN,RB,30,6,0,0,0,0,0,0,27,107,3.96,0,14,11,80,7.27,1,0,0,1,,,25,35.7,38.7,30.2,,52,,McKiJe00
182,Jelani Woods,IND,TE,24,6,0,0,0,0,0,0,0,0,,0,8,5,73,14.6,3,0,0,3,,,25,30.3,30.3,27.8,,20,,WoodJe01
183,Rex Burkhead,HOU,RB,32,5,0,0,0,0,0,0,20,64,3.2,0,24,18,112,6.22,1,0,0,1,,,24,41.6,44.6,32.6,,55,,BurkRe00
184,Kenneth Gainwell,PHI,RB,23,6,0,0,0,0,0,0,23,97,4.22,2,8,4,21,5.25,0,0,0,2,,,24,27.8,27.8,25.8,,54,,GainKe00
185,Darnell Mooney,CHI,WR,25,6,6,0,0,0,0,0,0,0,,0,33,17,241,14.18,0,0,0,0,,,24,41.1,44.1,32.6,,73,,MoonDa00
186,K.J. Osborn,MIN,WR,25,6,5,0,0,0,0,0,1,-1,-1,0,26,19,177,9.32,1,0,0,1,,,24,42.6,45.6,33.1,,74,,OsboKJ00
187,Samaje Perine,CIN,RB,27,6,0,0,0,0,0,0,17,75,4.41,0,15,12,105,8.75,1,0,0,1,,,24,36,39,30,,53,,PeriSa00
188,Darren Waller,LVR,TE,30,5,4,0,0,0,0,0,0,0,,0,24,16,175,10.94,1,0,0,1,,,24,39.5,42.5,31.5,,21,,WallDa01
189,Jamal Agnew,JAX,WR,27,6,0,0,0,0,0,0,5,29,5.8,0,11,7,78,11.14,2,0,0,2,,,23,29.7,29.7,26.2,,77,,AgneJa00
190,Dyami Brown,WAS,WR,23,6,0,0,0,0,0,0,0,0,,0,9,3,111,37,2,0,0,2,,,23,26.1,29.1,24.6,,75,,BrowDy00
191,Parris Campbell,IND,WR,25,6,5,0,0,0,0,0,0,0,,0,26,18,169,9.39,1,0,0,1,,,23,40.9,43.9,31.9,,76,,CampPa00
192,DeAndre Carter,LAC,WR,29,6,3,0,0,0,0,0,1,-5,-5,0,21,16,192,12,1,1,1,1,,,23,38.7,42.7,30.7,,78,,CartDe02
193,Evan Engram,JAX,TE,28,6,5,0,0,0,0,0,1,0,0,0,32,24,208,8.67,0,0,0,0,1,,23,46.8,49.8,34.8,,23,,EngrEv00
194,Kyle Pitts,ATL,TE,22,5,5,0,0,0,0,0,0,0,,0,25,13,169,13,1,0,0,1,,,23,35.9,38.9,29.4,,22,,PittKy00
195,Hunter Henry,NWE,TE,28,6,5,0,0,0,0,0,0,0,,0,21,13,156,12,1,0,0,1,,,22,34.6,37.6,28.1,,24,,HenrHu00
196,Joshua Kelley,LAC,RB,25,6,0,0,0,0,0,0,23,104,4.52,1,10,7,56,8,0,0,0,1,,,22,29,32,25.5,,56,,KellJo01
197,Isiah Pacheco,KAN,RB,22,6,0,0,0,0,0,0,31,149,4.81,1,2,2,9,4.5,0,2,0,1,,,22,23.8,26.8,22.8,,57,,PachIs00
198,Rashid Shaheed,NOR,WR,24,2,0,0,0,0,0,0,1,44,44,1,2,1,53,53,1,0,0,2,,,22,22.7,22.7,22.2,,79,,ShahRa00
199,Cam Akers,LAR,RB,23,5,2,0,0,0,0,0,51,151,2.96,1,5,2,18,9,0,1,1,1,,,21,22.9,26.9,21.9,,59,,AkerCa00
200,Noah Fant,SEA,TE,25,6,6,0,0,0,0,0,0,0,,0,23,19,150,7.89,1,0,0,1,,,21,40,43,30.5,,25,,FantNo00
201,Caleb Huntley,ATL,RB,24,4,0,0,0,0,0,0,35,152,4.34,1,0,0,0,,0,0,0,1,,,21,21.2,24.2,21.2,,58,,HuntCa02
202,Dawson Knox,BUF,TE,26,5,5,0,0,0,0,0,0,0,,0,20,15,148,9.87,1,0,0,1,,,21,35.8,38.8,28.3,,26,,KnoxDa00
