Rank,PlayerName,Team,Position,Age,GamesPlayed,GamesStarted,CompletedPasses,AttemptedPasses,PassingYards,PassingTouchdowns,Interceptions,RushAttempts,RushYards,YardsPerRush,RushingTouchdowns,Targets,Receptions,ReceivingYards,YardsPerRecepetion,ReceivingTouchdowns,Fumbles,FL,TotalTouchdowns,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PositionRank,OverallRank,-9999
434,Montrell Washington,DEN,WR,23,6,0,0,0,0,0,0,2,28,14,0,3,2,4,2,0,3,1,0,,,1,3.2,4.2,2.2,,173,,WashMo00
435,Salvon Ahmed,MIA,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,120,,AhmeSa01
436,Stephen Anderson,ARI,TE,29,7,0,0,0,0,0,0,0,0,,0,1,1,2,2,0,0,0,0,,,,1.2,1.2,0.7,,101,,AndeSt01
437,Devin Asiasi,CIN,,25,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,102,,AsiaDe00
438,C.J. Beathard,JAX,QB,29,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,52,,BeatC.00
439,Giovani Bernard,TAM,,31,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,121,,BernGi00
440,Khari Blasingame,CHI,,26,6,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,BlasKh00
441,Nick Boyle,BAL,,29,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,,BoylNi00
442,Damiere Byrd,ATL,,29,3,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,178,,ByrdDa00
443,Lawrence Cager,NYJ,,25,1,1,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,179,,CageLa01
444,Trenton Cannon,TEN,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,CannTr00
445,Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,104,,CartCe00
446,Dan Chisena,MIN,,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,180,,ChisDa00
447,Corey Clement,ARI,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,124,,ClemCo00
448,Chris Conley,HOU,,30,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,181,,ConlCh00
449,Keke Coutee,IND,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,182,,CoutKe00
450,Chase Daniel,LAC,,36,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,48,,DaniCh00
451,Rico Dowdle,DAL,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,DowdRi01
452,Jacob Eason,CAR,QB,25,1,0,3,5,59,0,1,0,0,,0,0,0,0,,0,0,0,0,,,,0.4,1.4,1.4,,46,,EasoJa00
453,Chris Evans,CIN,RB,25,6,0,0,0,0,0,0,0,0,,0,2,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,114,,EvanCh02
454,Darrynton Evans,CHI,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,,EvanDa02
455,Demetric Felton,CLE,RB,24,3,0,0,0,0,0,0,1,-4,-4,0,2,1,3,3,0,1,0,0,,,,0.9,0.9,0.4,,136,,FeltDe00
456,Nick Foles,IND,,33,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,49,,FoleNi00
457,Feleipe Franks,ATL,,25,4,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,50,,FranFe00
458,Jake Funk,LAR,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,FunkJa00
459,Tanner Gentry,BUF,,28,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,183,,GentTa00
460,Cullen Gillaspia,SEA,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,GillCu00
461,Josh Gordon,TEN,,31,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,184,,GordJo02
462,Justin Hardee,NYJ,,28,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,185,,HardJu01
463,Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,105,,HarrCl20
464,Jacob Harris,LAR,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,106,,HarrJa03
465,Chad Henne,KAN,,37,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,51,,HennCh01
466,Rashard Higgins,CAR,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,186,,HiggRa00
467,Jacob Hollister,MIN,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,107,,HollJa03
468,J.P. Holtz,NOR,,29,4,2,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,108,,HoltJ.01
469,Brycen Hopkins,LAR,,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,109,,HopkBr01
470,Jesse James,CLE,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,110,,JameJe00
471,Tyler Johnson,HOU,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,187,,JohnTy00
472,Ty Johnson,NYJ,RB,25,6,0,0,0,0,0,0,0,0,,0,3,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,115,,JohnTy02
473,Tyron Johnson,LVR,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,188,,JohnTy03
474,Taiwan Jones,BUF,,34,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,129,,JoneTa00
475,Case Keenum,BUF,QB,34,2,0,2,7,8,0,0,5,0,0,0,0,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,47,,KeenCa00
476,Hunter Long,MIA,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,111,,LongHu00
477,Marlon Mack,SFO,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,MackMa00
478,Jason Moore,LAC,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,189,,MoorJa02
479,Stanley Morgan Jr.,CIN,,26,6,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,190,,MorgSt02
480,Dare Ogunbowale,HOU,,28,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,,OgunDa00
481,Gunner Olszewski,PIT,WR,26,5,0,0,0,0,0,0,2,18,9,0,0,0,0,,0,2,1,0,,,,-0.2,0.8,-0.2,,197,,OlszGu00
482,Matthew Orzech,LAR,,27,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,112,,OrzeMa00
483,Devine Ozigbo,DEN,RB,26,1,0,0,0,0,0,0,1,2,2,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,117,,OzigDe01
484,Adam Prentice,NOR,RB,25,3,1,0,0,0,0,0,0,0,,0,1,1,2,2,0,1,0,0,,,,1.2,1.2,0.7,,118,,PrenAd00
485,Brock Purdy,SFO,QB,23,1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,53,,PurdBr00
486,Kevin Rader,TEN,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,113,,RadeKe00
487,Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,191,,RobeAn00
488,Richard Rodgers,LAC,,30,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,114,,RodgRi00
489,Drew Sample,CIN,TE,26,2,2,0,0,0,0,0,0,0,,0,2,2,-2,-1,0,0,0,0,,,,1.8,1.8,0.8,,119,,SampDr00
490,Matthew Slater,NWE,,37,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,192,,SlatMa00
491,Willie Snead,SFO,,30,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,193,,SneaWi00
492,Benny Snell Jr.,PIT,,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,SnelBe00
493,Matt Sokol,NWE,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,115,,SokoMa00
494,Keir Thomas,LAR,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,194,,ThomKe04
495,Noah Togiai,PHI,,25,2,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,116,,TogiNo00
496,Jalen Tolbert,DAL,WR,23,2,0,0,0,0,0,0,0,0,,0,2,1,4,4,0,0,0,0,,,,1.4,1.4,0.9,,176,,TolbJa00
497,Malik Turner,SFO,,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,195,,TurnMa00
498,KaVontae Turpin,DAL,WR,26,6,0,0,0,0,0,0,1,3,3,0,1,0,0,,0,0,0,0,,,,0.3,0.3,0.3,,177,,TurpKa00
499,Ke'Shawn Vaughn,TAM,,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,,VaugKe00
500,Jonathan Ward,ARI,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,WardJo00
501,Derek Watt,PIT,RB,30,6,1,0,0,0,0,0,1,2,2,0,1,1,1,1,0,0,0,0,,,,1.3,1.3,0.8,,116,,WattDe00
502,Antonio Williams,NYG,,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,135,,WillAn03
503,Damien Williams,ATL,RB,30,1,1,0,0,0,0,0,2,2,1,0,0,0,0,,0,0,0,0,,,,0.2,0.2,0.2,,119,,WillDa05
504,Maxx Williams,ARI,,28,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,117,,WillMa04
505,Malik Willis,TEN,QB,23,1,0,1,4,6,0,0,4,16,4,0,0,0,0,,0,1,1,0,,,,-0.2,0.8,-0.2,,54,,WillMa12
506,Javon Wims,ARI,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,196,,WimsJa00
507,Charlie Woerner,SFO,,25,6,1,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,118,,WoerCh00
508,Deonte Harty,NOR,WR,25,4,0,0,0,0,0,0,0,0,,0,2,2,13,6.5,0,1,1,0,,,-1,1.3,2.3,0.3,,200,,HarrDe07
509,Steven Sims,PIT,WR,25,2,0,0,0,0,0,0,1,-5,-5,0,0,0,0,,0,0,0,0,,,-1,-0.5,-0.5,-0.5,,198,,SimsSt00
510,Ihmir Smith-Marsette,CHI,WR,23,6,0,0,0,0,0,0,1,-1,-1,0,4,1,15,15,0,1,1,0,,,-1,0.4,1.4,-0.1,,199,,SmitIh00
511,Chester Rogers,CLE,,28,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2,-1,-2,,201,,RogeCh02
512,Trent Taylor,CIN,,28,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,1,0,,,-2,-2,-1,-2,,202,,TaylTr02
